"","ND_Veh_1","ND_Veh_2","ND_Veh_3","ND_Veh_4","HFD_Veh_1","HFD_Veh_2","HFD_Veh_3","HFD_Veh_4","HFD_Tx_1","HFD_Tx_2","HFD_Tx_3","HFD_Tx_4"
"oleate/vaccenate (18:1)","-0.35295545","-0.42874294","-0.09302753","-0.24761000"," 0.12895943"," 0.02225683"," 0.25157435"," 0.34920541"," 0.02654193"," 0.57125706","-0.13762189","-0.08983722"
"oleoyl ethanolamide","-0.418397885","-0.579855595"," 0.004175429","-0.281113217","-0.256652998"," 0.206963719"," 0.420144405"," 0.357095946"," 0.131297972"," 0.403848908"," 0.013996853","-0.001503537"
"oleoylcarnitine"," 0.24663847","-0.26013695","-0.56724111","-0.24296130"," 0.03557994","-0.33707447","-0.18792919"," 0.43275889"," 0.22044961","-0.06962453"," 0.31226681"," 0.41727382"
"ornithine"," 0.38962724"," 0.14049932","-0.35546269","-0.20960736"," 0.57985782","-0.22415436","-0.07690582","-0.42014218"," 0.05033262"," 0.01011800","-0.08391336"," 0.19975077"
"orotate"," 0.3226184"," 0.3196083","-0.1793402"," 0.2832403","-0.5027730"," 0.2435444","-0.6327066","-0.5314648"," 0.3672934","-0.3635819"," 0.3168342"," 0.3567273"
"orotidine"," 0.3014711"," 0.3339382"," 0.2390152"," 0.2359023","-0.4331259","-0.5240565","-0.4260073","-0.5575858"," 0.4396417","-0.4049931"," 0.3533859"," 0.4424142"
"oxalate (ethanedioate)","-0.001062055"," 0.079220105"," 0.061719313","-0.345968427","-0.577333629"," 0.025429567","-0.190435389"," 0.422666371"," 0.066674624"," 0.390057544","-0.137944752"," 0.206976727"
"p-cresol sulfate"," 0.06012752","-0.16396298","-0.20741864","-0.49757774"," 0.32343666"," 0.16471531"," 0.38855196"," 0.33782337","-0.61144804"," 0.27697891","-0.09648242"," 0.02525607"
"p-cresol-glucuronide*"," 0.08417042","-0.29397400","-0.07600657","-0.39062974"," 0.25766963"," 0.52947761"," 0.29728009","-0.29181855","-0.47052239"," 0.35538534","-0.05167508"," 0.05064323"
"palmitate (16:0)","-0.44248492","-0.46004956","-0.02040065","-0.25002501"," 0.36129070"," 0.21173348"," 0.37242113"," 0.39447805","-0.10448003"," 0.53995044","-0.30377134","-0.29866230"
"palmitoleate (16:1n7)","-0.41454039","-0.25714281","-0.09975043","-0.16573266"," 0.58545961"," 0.36888175"," 0.14847214"," 0.23848324","-0.21526096"," 0.49556854","-0.38453803","-0.29990001"
"palmitoyl dihydrosphingomyelin (d18:0/16:0)*","-0.50421302","-0.26091177"," 0.14291232","-0.33753715"," 0.26108474"," 0.28994716"," 0.20258260"," 0.14790412","-0.53521122"," 0.46478878"," 0.01131874"," 0.11733470"
"palmitoyl ethanolamide","-4.353636e-01","-5.571990e-01"," 1.068278e-01","-2.483269e-01"," 7.704905e-05"," 2.871914e-01"," 4.428010e-01"," 4.394803e-01","-6.754996e-02"," 3.901192e-01","-1.843396e-01","-1.737176e-01"
"palmitoyl sphingomyelin (d18:1/16:0)","-0.56772761","-0.00476071"," 0.43227239","-0.28449354","-0.13486052"," 0.10557693","-0.03650996","-0.12262377","-0.12114678"," 0.24392495"," 0.08742927"," 0.40291936"
"palmitoylcarnitine"," 0.1710292","-0.2391663"," 0.2363418","-0.3894448"," 0.2003572","-0.1918816","-0.1964716"," 0.6105552","-0.2616433","-0.2023066"," 0.1619562"," 0.1006747"
"pantothenate","-0.2122800","-0.1532753"," 0.2348028","-0.1831476"," 0.1791581"," 0.3872037"," 0.3208344"," 0.3397214","-0.6127963"," 0.2546091","-0.3401940","-0.2146362"
"phenol sulfate"," 0.32252994"," 0.18913512"," 0.31761887"," 0.27253810"," 0.09902971","-0.66797062"," 0.21342796","-0.18748524","-0.17019991"," 0.33202938","-0.21302965","-0.50762367"
"phenylacetylglycine"," 0.13975344","-0.20294530"," 0.18950363","-0.02515123"," 0.23397743","-0.05670124"," 0.10692347"," 0.22112522","-0.61501945"," 0.38498055","-0.10107813","-0.27536841"
"phenylalanine"," 0.24996233"," 0.27492761","-0.26212116","-0.03477777","-0.22316945","-0.41413864","-0.45715716","-0.30257700"," 0.49740241","-0.13100399"," 0.25980997"," 0.54284284"
"phenylalanylglycine","-0.59660395","-0.18354927"," 0.36537012","-0.27627642"," 0.39864438"," 0.09465200"," 0.26957295"," 0.40339605","-0.15940895"," 0.30811138","-0.09855463","-0.52535369"
"phenyllactate (PLA)","-0.18001258","-0.38401294"," 0.24603757","-0.34176347","-0.02863523"," 0.39642423"," 0.51006347"," 0.41630604"," 0.08328032","-0.48993653","-0.04268674","-0.18506415"
"phosphate","-0.11058238","-0.07777763"," 0.58308655","-0.27271119","-0.17643222","-0.10017724","-0.14880865","-0.41691345","-0.03539984"," 0.23366465"," 0.10445731"," 0.41759411"
"phosphoenolpyruvate (PEP)"," 0.33541392"," 0.19918302"," 0.34512230"," 0.26695373","-0.23735155","-0.52967046","-0.43280198","-0.44377525","-0.02261919","-0.17225336"," 0.47032954"," 0.22146929"
"phosphoethanolamine","-0.3571334321","-0.1901520841"," 0.6428665679"," 0.0515064175","-0.0786798844"," 0.0430688878","-0.1955384364"," 0.0602385741","-0.2261629640","-0.0362247758"," 0.2869042364","-0.0006931068"
"phosphopantetheine","-0.41053521","-0.28947912","-0.41449513","-0.25772392","-0.05969858"," 0.58550487"," 0.48867740"," 0.37203605","-0.16130867"," 0.25637635","-0.07984943","-0.02950461"
"pipecolate"," 0.4005948"," 0.3565124","-0.1719095"," 0.2497424","-0.4423188","-0.3837450","-0.4470723","-0.4539108"," 0.5332248","-0.4667752"," 0.3038007"," 0.5218565"
"pro-hydroxy-pro"," 0.45192237","-0.09848964","-0.14534305"," 0.18638053","-0.04834957","-0.09919705","-0.12671310"," 0.13147554"," 0.05180620","-0.54807763","-0.08465308"," 0.32923847"
"proline","-0.02069269","-0.26668803"," 0.22555466","-0.33998687","-0.40622547","-0.31606285"," 0.06324815","-0.03601917"," 0.16480628"," 0.21078796"," 0.12750349"," 0.59377453"
"prolylglycine"," 0.171827088"," 0.008032605"," 0.423783291"," 0.165742769","-0.262172869","-0.126680571","-0.293335236","-0.104063813"," 0.237595193","-0.576216709"," 0.267648595"," 0.087839656"
"propionylcarnitine","-0.07795887","-0.54741678","-0.07788532","-0.39207290"," 0.06448228"," 0.44492745"," 0.45258322"," 0.21956779","-0.24872169"," 0.33312378","-0.12954070","-0.04108826"
"pseudouridine"," 0.099799508","-0.248573912"," 0.549969336"," 0.005425149"," 0.141971100"," 0.272348125","-0.060444764"," 0.228031294","-0.450030664","-0.032679269","-0.134700785","-0.371115119"
"putrescine"," 0.2405827"," 0.3258919","-0.5775921"," 0.1979766","-0.3129140","-0.2048655","-0.2125055","-0.3951881"," 0.4224079","-0.1647468"," 0.2775500"," 0.4034029"
"pyridoxal"," 0.20699492"," 0.31244413"," 0.09782477"," 0.29186008","-0.58605904","-0.40792996","-0.33684831","-0.41682796"," 0.34679471","-0.17584428"," 0.25364997"," 0.41394096"
"pyridoxamine"," 0.195645622","-0.107595038","-0.543122252","-0.143942596"," 0.122437128","-0.009860422"," 0.064144946","-0.241036419"," 0.041191077"," 0.456877748"," 0.023068595"," 0.142191610"
"pyridoxamine phosphate"," 0.1621451"," 0.3079311","-0.2778223"," 0.2116884","-0.3430809","-0.1622699","-0.3573106","-0.5667960"," 0.3717729","-0.1370701"," 0.3576082"," 0.4332040"
"pyridoxate"," 0.04463232","-0.64375838"," 0.35624162","-0.18015082"," 0.34587744"," 0.04694077"," 0.23133885","-0.02703888"," 0.03374059"," 0.21519124","-0.17741173","-0.24560302"
"pyroglutamine*","-0.14934986"," 0.02301759","-0.29584788","-0.36879921"," 0.33208278"," 0.35933815"," 0.43958704"," 0.28919164","-0.15577738"," 0.27558448","-0.56041296","-0.18861439"
"retinol (Vitamin A)","-0.4144438","-0.4428332","-0.3997411","-0.1208802"," 0.3405152"," 0.5571668"," 0.3998539"," 0.4120092","-0.3841916"," 0.3507109","-0.0960776","-0.2020884"
"ribitol","-0.26746053","-0.50381117"," 0.49618883","-0.32898214"," 0.46764001"," 0.41393353"," 0.05862611","-0.04878670","-0.10600443"," 0.21120869","-0.16563489","-0.22691731"
"riboflavin (Vitamin B2)"," 0.32377595","-0.12105474","-0.58075929","-0.25854157"," 0.41924071"," 0.12563276"," 0.17958224"," 0.03099993","-0.03363339"," 0.08812886","-0.12980418","-0.04356727"
"ribonate"," 0.19017733","-0.01329791"," 0.15974821","-0.20511484"," 0.54015515","-0.45984485","-0.17778085","-0.22554503"," 0.08592632","-0.25437723"," 0.11431287"," 0.24564082"
"ribose"," 0.23588808"," 0.11812307","-0.76411192","-0.20424554"," 0.21782906"," 0.10383617"," 0.09942002","-0.04803653"," 0.23199644"," 0.01778082","-0.22533347"," 0.21685381"
"ribulose 5-phosphate","-0.496842775","-0.090647845"," 0.503157225","-0.132882497"," 0.188947935"," 0.012928809"," 0.089371422","-0.092267911","-0.080852266"," 0.047217879"," 0.045675390"," 0.006194633"
"S-adenosylhomocysteine (SAH)"," 0.17611879"," 0.20039484","-0.42285042"," 0.08620965","-0.22529260","-0.31761824","-0.30251640","-0.48482633"," 0.32903612"," 0.18422441"," 0.26194652"," 0.51517367"
"S-adenosylmethionine (SAM)"," 0.087580641"," 0.154145011","-0.156929581","-0.032172514","-0.066361411","-0.008618504","-0.666691794"," 0.033795144"," 0.333308206","-0.023212799"," 0.083691286"," 0.261466316"
"saccharopine"," 0.05839268","-0.04676839","-0.68608870","-0.12918084"," 0.01002983"," 0.08539921"," 0.06974654","-0.05850962"," 0.31391130","-0.05406115"," 0.14947772"," 0.28765142"
"salicylate","-0.18279556","-0.13425204","-0.33778541","-0.43759154"," 0.39094901"," 0.42648740"," 0.45267310"," 0.25040717"," 0.03225365"," 0.17158876","-0.54732690","-0.08460764"
"sarcosine (N-Methylglycine)"," 0.11706440","-0.21585249"," 0.37644571"," 0.26882139","-0.24183975"," 0.05670553","-0.30382756"," 0.15123554","-0.12119696"," 0.20482750"," 0.33117099","-0.62355429"
"sebacate (decanedioate)","-0.45485797","-0.33282786","-0.27210239","-0.19873940"," 0.39144118"," 0.48188225"," 0.54514203"," 0.13374170","-0.25151491"," 0.22619867","-0.23015192","-0.03821139"
"sedoheptulose-7-phosphate","-0.37078184","-0.16708124"," 0.35718698","-0.22709253"," 0.43024368"," 0.29257533"," 0.13826603","-0.01745893","-0.56975632"," 0.20859594","-0.11161078"," 0.03691366"
"serine"," 0.21653906"," 0.07726978","-0.44999064","-0.30227602","-0.26409493"," 0.01797358","-0.17618942","-0.04732006"," 0.34221244","-0.05918412"," 0.09505095"," 0.55000936"
"spermidine","-0.16505859","-0.26066789","-0.51367185","-0.21533882"," 0.20019629"," 0.27702544"," 0.31667107"," 0.21657961","-0.04593003"," 0.48632815","-0.15161814","-0.14451524"
"sphinganine","-0.32563666","-0.48778069"," 0.19810446","-0.28244232"," 0.34063439"," 0.41359618"," 0.45357578"," 0.17019371","-0.54642422"," 0.38448919","-0.04739181","-0.27091802"
"sphingomyelin (d18:1/14:0, d16:1/16:0)*"," 0.2984200"," 0.3614866","-0.5761494"," 0.1330854","-0.3061949","-0.2127308","-0.2538067","-0.3124046"," 0.4027762","-0.2375469"," 0.2792144"," 0.4238506"
"sphingomyelin (d18:1/15:0, d16:1/17:0)*","-0.13415216","-0.09691591","-0.58913554","-0.42367685","-0.01265465"," 0.13902614"," 0.18889893"," 0.10950289"," 0.02575340"," 0.41086446"," 0.03658932"," 0.34589996"
"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)","-0.09398351"," 0.05422429","-0.64176262","-0.18013284"," 0.00408943"," 0.14565643","-0.03908398","-0.03691242"," 0.15946010"," 0.23005981"," 0.04014792"," 0.35823738"
"sphingomyelin (d18:1/18:1, d18:2/18:0)","-0.43102855","-0.29237409","-0.53651680","-0.41160852"," 0.29932478"," 0.46348320"," 0.34243377"," 0.33979920","-0.15377886"," 0.33322021","-0.04885702"," 0.09590269"
"sphingomyelin (d18:1/20:0, d16:1/22:0)*","-0.46316941","-0.31349599","-0.11463822","-0.37419323"," 0.39148702"," 0.50156069"," 0.11998398"," 0.28524543","-0.34523197"," 0.53683059","-0.24029236"," 0.01591348"
"sphingomyelin (d18:1/20:1, d18:2/20:0)*","-0.4590206","-0.3411510","-0.2977857","-0.3822696"," 0.3779384"," 0.5409794"," 0.4615744"," 0.3510640","-0.3122693"," 0.3709975","-0.1877383","-0.1223194"
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*","-0.41119713","-0.28260566"," 0.09464396","-0.33888973"," 0.29179184"," 0.38764626"," 0.31229559"," 0.29719695","-0.45522843"," 0.54477157","-0.35707330","-0.08335191"
"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*","-0.452130022","-0.304396111","-0.384360009","-0.464373500"," 0.434947130"," 0.535626500"," 0.423958213"," 0.426965056","-0.334183421"," 0.402192936","-0.276237365","-0.008009406"
"sphingomyelin (d18:1/24:1, d18:2/24:0)*","-0.301663661","-0.159397157"," 0.003621854","-0.428737053"," 0.216627273"," 0.317079880"," 0.381472989"," 0.117178278","-0.472516502"," 0.527483498","-0.285425131"," 0.084275730"
"sphingomyelin (d18:2/16:0, d18:1/16:1)*"," 0.17438489"," 0.25500357","-0.68993363","-0.03751251","-0.15012809","-0.01639433"," 0.01078660","-0.04759922"," 0.21548002","-0.12214757"," 0.09799389"," 0.31006637"
"sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*","-0.51809203","-0.41035822","-0.04154058","-0.42663178"," 0.40749312"," 0.48190797"," 0.46836024"," 0.38665815","-0.39118520"," 0.44391566","-0.31646339","-0.08406395"
"sphingomyelin (d18:2/24:1, d18:1/24:2)*","-0.12290817"," 0.02502559","-0.52297367","-0.39949949"," 0.28194805"," 0.36401274"," 0.46556581"," 0.22019074","-0.53443419"," 0.35420161","-0.28863029"," 0.15750126"
"sphingosine"," 0.15219296"," 0.12441230"," 0.65362771"," 0.25996655","-0.22507654","-0.30286483","-0.33988458","-0.28956514","-0.05843132","-0.34637229"," 0.22490298"," 0.14709224"
"stachydrine"," 0.4831821286"," 0.4771033534"," 0.5002301412"," 0.4316626749"," 0.0924286560","-0.4948138272","-0.3303926939","-0.3419794813"," 0.0003463887","-0.2606538197","-0.0573436618","-0.4997698588"
"stearate (18:0)","-0.40120761","-0.52083395","-0.19083030","-0.38761524"," 0.22574797"," 0.24767906"," 0.46071531"," 0.38252637"," 0.08884277"," 0.47916605","-0.23175943","-0.15243099"
"stearidonate (18:4n3)","-0.17383250"," 0.33668304"," 0.28642041"," 0.38437817"," 0.36053558"," 0.34519290","-0.22413315"," 0.15755887","-0.61562183"," 0.02565884","-0.53244264","-0.35039770"
"stearoyl ethanolamide","-0.48731773","-0.43151101","-0.06038908","-0.26814664"," 0.33599454"," 0.51268227"," 0.43708540"," 0.28431111","-0.33292537"," 0.34022814","-0.15646142","-0.17355021"
"stearoyl sphingomyelin (d18:1/18:0)","-0.37472004","-0.31038277","-0.50025461","-0.45837226"," 0.30850449"," 0.45334846"," 0.27520113"," 0.26726926","-0.20875931"," 0.49974539","-0.08786576"," 0.13628601"
"stearoylcarnitine"," 0.5495644"," 0.1142077","-0.3218314"," 0.1021864","-0.2751707","-0.4471016","-0.4410293","-0.2678227"," 0.4115179","-0.3234802"," 0.3460611"," 0.5528984"
"succinate","-0.54799083","-0.05101710"," 0.10096043","-0.47860869"," 0.20277978"," 0.19346895"," 0.25461090"," 0.45200917","-0.14155525"," 0.24429799","-0.25564539"," 0.02669005"
"succinylcarnitine","-0.36642675","-0.20904397","-0.05645693","-0.32416285"," 0.20211346"," 0.39560435"," 0.25713485"," 0.37288192","-0.48102293"," 0.51897707","-0.26297922","-0.04661900"
"sucrose","-0.35135650","-0.32870476","-0.17070198","-0.15523985"," 0.54741342"," 0.64864350"," 0.04772241","-0.02838838","-0.05719138"," 0.18503926","-0.14445386","-0.19278188"
"sulfate*","-0.43449932","-0.26173779"," 0.04737766","-0.27121129","-0.17179367"," 0.52813586"," 0.39397473"," 0.56550068","-0.23478024"," 0.40350648","-0.32810979","-0.23636332"
"tartronate (hydroxymalonate)"," 0.434426202","-0.073056708","-0.007313894","-0.317702147","-0.366835070","-0.233221469"," 0.028180706"," 0.119799296","-0.414326328"," 0.505589504","-0.261213763"," 0.585673672"
"taurine","-0.4353143","-0.4009691","-0.0506394","-0.4301727"," 0.3551195"," 0.4971606"," 0.4548094"," 0.2877475","-0.4300641"," 0.5646857","-0.2923492","-0.1200140"
"tauro-beta-muricholate"," 0.415843306","-0.014760434","-0.031797235"," 0.138536958"," 0.643217245","-0.229198667","-0.178826564","-0.109776280","-0.356782755"," 0.005735792","-0.139297926","-0.142893439"
"taurocholate"," 0.462044502","-0.066947677","-0.002272283"," 0.140741885"," 0.637561175","-0.117017279","-0.222529808","-0.081567779","-0.362438825","-0.047048357","-0.145871081","-0.194654472"
"taurocyamine","-0.394661827","-0.515701054"," 0.003472154","-0.376283195"," 0.445075047"," 0.357561596"," 0.396538236"," 0.350877727","-0.303853534"," 0.484298946","-0.406304889","-0.041019206"
"taurodeoxycholate"," 0.22791086","-0.22013870","-0.24172808","-0.12322766"," 0.56431151"," 0.16446738"," 0.18576475"," 0.05358120"," 0.09703192"," 0.08149442","-0.43568849","-0.35377911"
"tetradecanedioate","-0.48797882","-0.21161309","-0.25433475","-0.32713893"," 0.34974513"," 0.51202118"," 0.17661695"," 0.24097375","-0.24846676"," 0.31128059","-0.10265133"," 0.04154609"
"thiamin (Vitamin B1)"," 0.1960109759","-0.0036310040"," 0.2687891850"," 0.1173155842","-0.0004823219"," 0.0061045037"," 0.0158221864","-0.7312108150"," 0.0072585757"," 0.0453131353"," 0.0724421473"," 0.0062678474"
"thiamin monophosphate","-0.04351911"," 0.09397492"," 0.67819553"," 0.15937028","-0.03241733","-0.27843961","-0.32180447","-0.31647281"," 0.07774416","-0.04215658","-0.01864981"," 0.04417484"
"threonate","-0.14182351"," 0.35281832"," 0.08384312","-0.09159288","-0.26942434","-0.05346963","-0.42003402","-0.22606547"," 0.57894072","-0.42105928"," 0.26348419"," 0.34438279"
"threonine"," 0.12253314"," 0.05723585","-0.36069341","-0.18971666","-0.36643515","-0.17069289","-0.27244380","-0.21723160"," 0.55849856"," 0.01472602"," 0.19065508"," 0.63356485"
"thymidine","-0.04904446"," 0.53229195"," 0.32533371","-0.13742419","-0.11567948","-0.20056057","-0.23859345"," 0.11234835"," 0.30290568","-0.46770805","-0.17161741"," 0.10774793"
"tiglylcarnitine"," 0.04201182","-0.58092824"," 0.24608525","-0.45128268"," 0.38318441"," 0.26813574"," 0.30339551"," 0.37049051","-0.37500279"," 0.18952818","-0.61681559"," 0.22119788"
"trans-4-hydroxyproline"," 0.04937487","-0.11576155","-0.44541052","-0.17458833","-0.05550888"," 0.06152325"," 0.05553969"," 0.32010739"," 0.01151733"," 0.03025014","-0.29163288"," 0.55458948"
"trans-urocanate","-0.54221873","-0.36064931"," 0.15874681","-0.02218377"," 0.02690213"," 0.17479793"," 0.31122915"," 0.45778127","-0.15840536"," 0.41440148","-0.22034377","-0.24005784"
"tricosanoyl sphingomyelin (d18:1/23:0)*","-0.3757354","-0.2716844"," 0.1772649","-0.2024094"," 0.2458732"," 0.4019788"," 0.2888484"," 0.2413008","-0.5127588"," 0.4872412","-0.3453505","-0.1345688"
"trigonelline (N'-methylnicotinate)"," 0.45881620"," 0.45041647"," 0.45335852"," 0.40416715"," 0.10361706","-0.42121325","-0.35805770","-0.54118380","-0.26483247","-0.09227487","-0.40588737"," 0.21307407"
"trimethylamine N-oxide"," 0.36647624"," 0.42293636"," 0.29005222"," 0.37015336","-0.57706364"," 0.18110656","-0.36220625"," 0.19357816","-0.21200607","-0.45072074","-0.24123645"," 0.01893027"
"tryptophan","-0.2266513","-0.3114341"," 0.2463642","-0.3071776"," 0.3783534"," 0.3424982"," 0.3125695"," 0.3250163","-0.2977543"," 0.3863947","-0.2345736","-0.6136053"
"tyrosine"," 0.01837234","-0.09593224","-0.27458317"," 0.10752200","-0.45921955"," 0.01039215","-0.08405840","-0.23904284"," 0.25394420","-0.02994756"," 0.25177264"," 0.54078045"
"tyrosylglycine","-0.25682353","-0.29764738","-0.19933395","-0.29874388"," 0.43469091"," 0.49109584"," 0.58618082","-0.02506674","-0.41381918"," 0.48908876","-0.21944830","-0.29017337"
"UDP-galactose","-0.06818720"," 0.09949541"," 0.19896436"," 0.07520004"," 0.36122613"," 0.40977164","-0.58812848","-0.59022836"," 0.17313724","-0.33346874"," 0.08469506"," 0.17752290"
"UDP-glucose","-0.48482149"," 0.12614956"," 0.51517851"," 0.10047866"," 0.37284061","-0.44539435","-0.17925328","-0.28551170"," 0.19759427","-0.11847919"," 0.04703886"," 0.15417954"
"UDP-glucuronate","-0.19915569","-0.35369489"," 0.04388035","-0.50620202","-0.16874571"," 0.42723426"," 0.47442436"," 0.49379798","-0.19284654"," 0.39632892","-0.17210324","-0.24291778"
"UDP-N-acetylgalactosamine","-0.135264613"," 0.343733213"," 0.010106398","-0.005483911","-0.298814270","-0.505717008","-0.079375847","-0.104558434"," 0.494282992","-0.071522885","-0.007577484"," 0.360191849"
"UDP-N-acetylglucosamine","-0.27911526"," 0.26407534"," 0.05352893"," 0.02418670","-0.55242556","-0.20985636","-0.03044768","-0.19672840"," 0.40147517","-0.05744461"," 0.13517728"," 0.44757444"
"uracil"," 0.65671475","-0.23347944","-0.33255993","-0.14645872"," 0.21649016","-0.06048522","-0.34328525","-0.07959600","-0.17920469"," 0.08079741"," 0.05974036"," 0.36132655"
"urate","-0.46143531","-0.62069903","-0.61534437"," 0.02780765"," 0.15153226"," 0.36890929"," 0.30347680"," 0.31587046","-0.06983059"," 0.37930097"," 0.10207083"," 0.11834103"
"urea","-0.27156588","-0.43848100"," 0.04345823","-0.40759997"," 0.18449124"," 0.38564243"," 0.31387763"," 0.09598206","-0.20127621"," 0.56151900","-0.24349426","-0.02255328"
"uridine"," 0.45251843"," 0.28168542"," 0.08728150"," 0.08964416","-0.19547791","-0.46943698","-0.54748157","-0.44027537"," 0.26663133","-0.12425797"," 0.22585910"," 0.37330986"
"uridine 5'-diphosphate (UDP)","-0.512243020"," 0.017649350"," 0.487756980","-0.074700247","-0.097533178"," 0.023966789"," 0.081902674","-0.055638471"," 0.009905097"," 0.054917992","-0.002043439"," 0.066059475"
"uridine 5'-monophosphate (UMP)","-0.5251004","-0.2141577","-0.2406173","-0.3173333"," 0.3331049"," 0.4748996"," 0.4551116"," 0.4029066","-0.2590909"," 0.3741482","-0.2817737","-0.2020974"
"valine"," 0.1788641"," 0.1723410","-0.3707154","-0.1931060","-0.2320414","-0.2713043","-0.2496587","-0.0803360"," 0.4952203","-0.1842047"," 0.1056566"," 0.6292846"
"valylglycine","-0.60947677","-0.38170526"," 0.39052323"," 0.16224846","-0.22003797"," 0.29088766"," 0.11280361"," 0.09702955","-0.37781526"," 0.24753223"," 0.27389410"," 0.01411642"
"xanthine"," 0.23133076"," 0.16360552"," 0.30312582"," 0.09871931","-0.08594285","-0.41793126","-0.51302921","-0.62177946"," 0.23191932"," 0.02737695"," 0.20438455"," 0.37822054"
"xanthosine"," 0.168561563"," 0.049713460"," 0.306368520"," 0.161973377"," 0.298752699"," 0.321960250","-0.678039750","-0.582438331"," 0.061188120","-0.158410738"," 0.004374376"," 0.045996456"
